id,original_title
2,Ariel
3,Varjoja paratiisissa
5,Four Rooms
6,Judgment Night
11,Star Wars
12,Finding Nemo
13,Forrest Gump
14,American Beauty
15,Citizen Kane
16,Dancer in the Dark
17,The Dark
18,The Fifth Element
19,Metropolis
20,My Life Without Me
21,The Endless Summer
22,Pirates of the Caribbean: The Curse of the Black Pearl
24,Kill Bill: Vol. 1
25,Jarhead
26,LaLehet Al HaMayim
27,9 Songs
28,Apocalypse Now
33,Unforgiven
35,The Simpsons Movie
38,Eternal Sunshine of the Spotless Mind
55,Amores perros
58,Pirates of the Caribbean: Dead Man's Chest
59,A History of Violence
62,2001: A Space Odyssey
63,Twelve Monkeys
64,Hable con ella
65,8 Mile
66,Absolute Power
67,Paradise Now
68,Brazil
69,Walk the Line
70,Million Dollar Baby
71,Billy Elliot
73,American History X
74,War of the Worlds
75,Mars Attacks!
76,Before Sunrise
77,Memento
78,Blade Runner
80,Before Sunset
82,Miami Vice
83,Open Water
85,Raiders of the Lost Ark
86,Elementarteilchen
87,Indiana Jones and the Temple of Doom
88,Dirty Dancing
89,Indiana Jones and the Last Crusade
90,Beverly Hills Cop
91,Las Hurdes
92,Megacities
93,Anatomy of a Murder
95,Armageddon
96,Beverly Hills Cop II
97,Tron
98,Gladiator
99,Todo sobre mi madre
100,"Lock, Stock and Two Smoking Barrels"
102,Elsker dig for evigt
103,Taxi Driver
104,Lola rennt
105,Back to the Future
106,Predator
107,Snatch
108,Trois couleurs : Bleu
109,Trois couleurs : Blanc
110,Trois couleurs : Rouge
111,Scarface
112,Italiensk for begyndere
114,Pretty Woman
115,The Big Lebowski
116,Match Point
117,The Untouchables
118,Charlie and the Chocolate Factory
120,The Lord of the Rings: The Fellowship of the Ring
121,The Lord of the Rings: The Two Towers
122,The Lord of the Rings: The Return of the King
123,The Lord of the Rings
124,Bez Konca
127,Przypadek
132,The Rolling Stones: Gimme Shelter
133,Primary
134,"O Brother, Where Art Thou?"
135,Dont Look Back
136,Freaks
137,Groundhog Day
138,Dracula
139,Mifunes sidste sang
141,Donnie Darko
142,Brokeback Mountain
143,All Quiet on the Western Front
144,Der Himmel über Berlin
145,Breaking the Waves
147,Les Quatre Cents Coups
148,The Secret Life of Words
150,48 Hrs.
152,Star Trek: The Motion Picture
153,Lost in Translation
154,Star Trek II: The Wrath of Khan
155,The Dark Knight
157,Star Trek III: The Search for Spock
158,Knockin' on Heaven's Door
159,Der bewegte Mann
161,Ocean's Eleven
162,Edward Scissorhands
163,Ocean's Twelve
164,Breakfast at Tiffany's
165,Back to the Future Part II
166,La Boum
167,K-PAX
168,Star Trek IV: The Voyage Home
169,Predator 2
170,28 Days Later
171,La Boum 2
172,Star Trek V: The Final Frontier
173,"20,000 Leagues Under the Sea"
174,Star Trek VI: The Undiscovered Country
175,Le Grand Bleu
176,Saw
177,The Fisher King
178,Blown Away
179,The Interpreter
180,Minority Report
182,The Good German
183,The Wizard
184,Jackie Brown
185,A Clockwork Orange
186,Lucky Number Slevin
187,Sin City
189,Sin City: A Dame to Kill For
192,The Name of the Rose
193,Star Trek: Generations
195,Trouble in Paradise
196,Back to the Future Part III
197,Braveheart
198,To Be or Not to Be
199,Star Trek: First Contact
200,Star Trek: Insurrection
201,Star Trek: Nemesis
203,Mean Streets
204,Le salaire de la peur
205,Hotel Rwanda
206,Paradise Found
207,Dead Poets Society
211,Berlin is in Germany
212,Arsenic and Old Lace
213,North by Northwest
214,Saw III
215,Saw II
216,Angst essen Seele auf
217,Indiana Jones and the Kingdom of the Crystal Skull
218,The Terminator
219,Volver
220,East of Eden
221,Rebel Without a Cause
222,Berlin: Die Sinfonie der Grosstadt
223,Rebecca
225,Czlowiek z zelaza
